;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
2017;1.34;0.76;1.19;0.79;-;-;-;-;-;-;-;-
2016;0.93;0.94;1.44;1.09;1.1;1.38;0.51;1.51;1.31;1.26;1.13;0.63
2015;1.0;0.91;1.05;0.98;1.01;1.1;1.26;1.06;1.17;1.21;1.09;1.51
2014;0.91;1.15;1.2;1.02;1.03;0.77;0.98;0.92;0.91;0.97;0.76;0.88
2013;0.04;0.1;0.06;0.59;0.53;0.44;0.69;0.7;0.72;0.83;0.66;0.82
2012;0.95;0.84;0.93;0.87;0.9;0.65;0.76;0.73;0.54;0.78;0.64;0.23
2011;0.92;0.92;1.06;0.83;1.05;0.99;1.07;1.19;1.26;0.95;0.9;0.94
2010;0.83;0.68;0.83;0.7;0.78;0.83;0.91;0.89;0.88;0.89;0.86;0.97
2009;-;-;-;-;-;-;-;-;-;-;0.7;1.12
