;Jan-2016;Fev-2016;Mar-2016;Abr-2016;Mai-2016;Jun-2016;Jul-2016;Ago-2016;Set-2016;Out-2016;Nov-2016;Dez-2016;Jan-2015;Fev-2015;Mar-2015;Abr-2015;Mai-2015;Jun-2015;Jul-2015;Ago-2015;Set-2015;Out-2015;Nov-2015;Dez-2015;Jan-2014;Fev-2014;Mar-2014;Abr-2014;Mai-2014;Jun-2014;Jul-2014;Ago-2014;Set-2014;Out-2014;Nov-2014;Dez-2014
XP INV FIRF;0,93;0,94;1,44;1,09;1,10;1,38;0,51;1,51;1,31;1,26;1,13;0,63;1,00;0,91;1,05;0,98;1,01;1,10;1,26;1,06;1,17;1,21;1,09;1,51;0,91;1,15;1,20;1,02;1,03;0,77;0,98;0,92;0,91;0,97;0,76;0,88
BTG Pac;1,02;1,01;1,18;1,08;1,13;1,20;1,12;1,26;1,19;1,07;1,04;1,14;0,95;0,84;1,05;0,96;1,00;1,09;1,20;1,13;1,13;1,13;1,07;1,18;0,85;0,79;0,77;0,82;0,87;0,83;0,95;0,87;0,91;0,96;0,85;0,97
